Dataset 1,Dataset 2,,,,,,,,,,,
C:\Users\arnulfo azcarraga\Desktop\Rgee\OOTO UNICEF\Chitest\Datasets\ready for OOTO\preprocessed\nation_p.csv,C:\Users\arnulfo azcarraga\Desktop\Rgee\OOTO UNICEF\Chitest\Datasets\ready for OOTO\preprocessed\sultan_kudarat_p.csv,,,,,,,,,,,
Question,Feature,Chi,Higher Or Lower,Degrees of Freedom,N1,N2,P1(a),P1(b),P1(etc),P2(a),P2(b),P2(etc)
I feel safe on the internet,d2a,2.541673451,+,2,[1746.0],[72.0],0.496563574,0.458190149,0.045246277,0.569444444,0.416666667,0.013888889
I find other people are kind and helpful on the internet,d2b,13.13585434,+,2,[1741.0],[72.0],0.371625503,0.584147042,0.044227455,0.569444444,0.430555556,0
I know what to do if someone acts online in a way I don't like,d2c,3.018912302,+,2,[1409.0],[51.0],0.312278211,0.650816182,0.036905607,0.392156863,0.607843137,0
How were your social media accounts created?,d12,0.810041657,-,4,[1352.0],[49.0],0.343195266,0.155325444,0.50147929,0.306122449,0.163265306,0.530612245
How old were you when you first had your social media account?,d13,8.060379389,+,3,[1387.0],[49.0],0.408074982,0.357606345,0.234318673,0.265306122,0.346938776,0.387755102
Facebook/Messenger,d14a,0.924911694,+,2,[1393.0],[49.0],0.04235463,0.556353195,0.401292175,0.040816327,0.489795918,0.469387755
Skype,d14b,0.479930656,+,2,[1215.0],[43.0],0.81399177,0.140740741,0.04526749,0.837209302,0.139534884,0.023255814
Viber,d14c,,,2,[1193.0],[43.0],0.884325231,0.088013412,0.027661358,0.837209302,0.162790698,0
WeChat,d14d,,,2,[1190.0],[44.0],0.894957983,0.070588235,0.034453782,0.909090909,0.090909091,0
Instagram,d14e,2.18615207,+,2,[1205.0],[44.0],0.721991701,0.199170124,0.078838174,0.818181818,0.113636364,0.068181818
Twitter,d14f,1.359398502,+,2,[1198.0],[44.0],0.778797997,0.161936561,0.059265442,0.840909091,0.136363636,0.022727273
YouTube/Hangout (Google),d14g,0.725394815,+,2,[1253.0],[46.0],0.612130886,0.305666401,0.082202713,0.673913043,0.260869565,0.065217391
Minecraft,d15a,0.72723553,-,1,[987.0],[39.0],0.581560284,0.418439716,0,0.512820513,0.487179487,0
Warcraft DOTA,d15b,0.108353301,+,1,[985.0],[39.0],0.852791878,0.147208122,0,0.871794872,0.128205128,0
DOTA 2,d15c,4.202929617,-,1,[985.0],[39.0],0.78071066,0.21928934,0,0.641025641,0.358974359,0
League of Legends,d15d,9.856320871,+,1,[986.0],[39.0],0.721095335,0.278904665,0,0.948717949,0.051282051,0
Counterstrike,d15e,0.089298893,+,1,[986.0],[39.0],0.669371197,0.330628803,0,0.692307692,0.307692308,0
Others,d15f,0.625116995,+,1,[988.0],[39.0],0.525303644,0.474696356,0,0.58974359,0.41025641,0
Thinking of the profile you use most often; about how many people are you in contact with when using [named profile]?,d7a,,,14,[1325.0],[49.0],0.076226415,0.110188679,0.813584906,0.12244898,0.102040816,0.775510204
More or less; how many are your followers?,d7b,,,14,[1131.0],[48.0],0.192749779,0.17683466,0.630415561,0.3125,0.229166667,0.458333333
More or less; how many do you follow?,d7c,,,14,[1139.0],[48.0],0.244951712,0.192273924,0.562774363,0.354166667,0.208333333,0.4375
Is you [named profile] set to...?,d8,,,3,[1347.0],[48.0],0.594654788,0.269487751,0.135857461,0.604166667,0.25,0.145833333
A photo that clearly shows your face,d9a,2.797202984,+,2,[1383.0],[49.0],0.139551699,0.836587129,0.023861171,0.224489796,0.755102041,0.020408163
Your last name,d9b,0.01997718,+,2,[1381.0],[49.0],0.1173063,0.860246198,0.022447502,0.12244898,0.857142857,0.020408163
Your address,d9c,1.266779106,-,2,[1371.0],[48.0],0.347921225,0.609044493,0.043034282,0.270833333,0.6875,0.041666667
Your phone number,d9d,1.523298459,-,2,[1365.0],[48.0],0.586813187,0.375824176,0.037362637,0.520833333,0.458333333,0.020833333
Your school,d9e,0.360371294,-,2,[1369.0],[48.0],0.350620891,0.61504748,0.034331629,0.333333333,0.645833333,0.020833333
Your correct age,d9f,0.5269261,-,2,[1371.0],[49.0],0.355944566,0.609044493,0.035010941,0.306122449,0.653061224,0.040816327
An age that is not your real age,d9g,1.682586302,+,2,[1358.0],[49.0],0.67083947,0.288659794,0.040500736,0.755102041,0.204081633,0.040816327
Places you've dined and visited,d9j,0.555430067,+,2,[1346.0],[49.0],0.62332838,0.32986627,0.046805349,0.653061224,0.285714286,0.06122449
Pictures showing whole body,d9k,1.801493178,+,2,[1354.0],[49.0],0.625553914,0.336779911,0.037666174,0.714285714,0.244897959,0.040816327
How do you usually respond to requests from people to become your ‘friends’ online?,d10,,,3,[1359.0],[48.0],0.189109639,0.747608536,0.063281825,0.291666667,0.666666667,0.041666667
Looked for new friends or contacts on the internet,f1a,1.147336019,-,2,[1716.0],[71.0],0.80011655,0.190559441,0.009324009,0.774647887,0.225352113,0
Sent my personal information (e.g.; my full name; address or phone number) to someone I have never met face-to-face,f1b,5.097862595,-,2,[1682.0],[70.0],0.912604043,0.07491082,0.012485137,0.857142857,0.142857143,0
Added people to my friends or contacts I have never met face-to-face,f1c,1.388539561,-,2,[1691.0],[70.0],0.82613838,0.162625665,0.011235955,0.771428571,0.214285714,0.014285714
Pretended to be a different kind of person online from who I really am,f1d,2.984386808,-,2,[1668.0],[68.0],0.913069544,0.071942446,0.01498801,0.852941176,0.117647059,0.029411765
Sent a photo or video of myself to someone I have never met face-to-face,f1e,0.814287567,-,2,[1678.0],[70.0],0.914779499,0.071513707,0.013706794,0.885714286,0.1,0.014285714
Post my current location and those I had been to,f1f,1.202037713,-,2,[1663.0],[66.0],0.888755262,0.095610343,0.015634396,0.848484848,0.136363636,0.015151515
Post my new stuff and clothes,f1g,9.827904895,-,2,[1681.0],[69.0],0.88994646,0.098750744,0.011302796,0.768115942,0.202898551,0.028985507
Post messages or love quotes that pertain to the boy/girl whom I have a crush on,f1h,1.24358083,-,2,[1687.0],[69.0],0.868405453,0.114997036,0.01659751,0.826086957,0.144927536,0.028985507
Seek to get acquainted or befriend persons who are Non-Filipinos (foreigners),f1i,,,2,[1674.0],[69.0],0.928912784,0.05734767,0.013739546,0.884057971,0.086956522,0.028985507
Engage in chat activities with a person whom I only met on internet,f1j,0.396223098,+,2,[1679.0],[69.0],0.83144729,0.160214413,0.008338297,0.84057971,0.144927536,0.014492754
Do video calls with a person whom I only met on internet,f1k,5.589041151,-,2,[1662.0],[68.0],0.907340554,0.081227437,0.01143201,0.823529412,0.161764706,0.014705882
Receive offers or gifts online,f1l,5.665754259,-,2,[1658.0],[68.0],0.91495778,0.07358263,0.01145959,0.852941176,0.147058824,0
Have you EVER had contact on the internet with someone you have not met face-to-face before?,f2,2.263550107,-,2,[1222.0],[52.0],0.703764321,0.25695581,0.039279869,0.634615385,0.288461538,0.076923077
In the PAST YEAR; have you at least once met anyone face to face that you first got to know on the internet?,f3,4.505598085,-,2,[1700.0],[68.0],0.832941176,0.143529412,0.023529412,0.75,0.235294118,0.014705882
If you met anyone face-to-face that you first got to know on the internet; how did you feel about it?,f4,,,3,[244.0],[16.0],0.606557377,0.196721311,0.196721311,0.4375,0.25,0.3125
Thinking about the LAST TIME you were bothered by meeting someone in this way; how old was the person you actually met?,f5,,,2,[38.0],[5.0],0.763157895,0.157894737,0.078947368,0.4,0.2,0.4
I've met face to face with a person I just got acquainted on internet but is already known by my friends or relatives,f6a,,,2,[239.0],[17.0],0.389121339,0.59832636,0.012552301,0.411764706,0.529411765,0.058823529
I've met face to face with a person I just got acquainted on internet and who is totally unknown to anyone I personally know,f6b,,,2,[235.0],[16.0],0.578723404,0.404255319,0.017021277,0.8125,0.1875,0
I've met with a foreigner (different nationality),f6c,,,2,[239.0],[16.0],0.694560669,0.292887029,0.012552301,0.6875,0.25,0.0625
I've personally met with an older person,f6d,8.531927725,-,2,[243.0],[17.0],0.510288066,0.456790123,0.032921811,0.352941176,0.470588235,0.176470588
I've met face to face with a person I just got acquainted on internet and she/he was accompanied by another girl/boy,f6e,,,2,[241.0],[16.0],0.56846473,0.419087137,0.012448133,0.625,0.3125,0.0625
I've met with another woman like myself whom i just got acquainted with on internet,f6f,,,1,[91.0],[4.0],0.395604396,0.604395604,0,0.5,0.5,0
I've met with another man like myself whom i just got acquainted with on internet,f6g,,,2,[146.0],[12.0],0.534246575,0.452054795,0.01369863,0.666666667,0.25,0.083333333
I've met with LGBT person (lesbian; gay; bisexual; transgender) whom i just got acquainted with on internet,f6h,,,2,[236.0],[17.0],0.75,0.228813559,0.021186441,0.823529412,0.176470588,0
In the PAST YEAR; how many people have you gone to a meeting with face-to-face that you had previously only met on the internet?,f8,,,2,[238.0],[16.0],0.155462185,0.827731092,0.016806723,0.1875,0.75,0.0625
In the PAST YEAR; has anything EVER happened online that bothered or upset you in some way? (e.g.; made you feel uncomfortable; scared or that you shouldn’t have seen it)?,f11,0.06178311,+,2,[1666.0],[67.0],0.795318127,0.175870348,0.028811525,0.805970149,0.164179104,0.029850746
In the PAST YEAR; how often did this happen?,f12,2.011956298,-,2,[294.0],[11.0],0.482993197,0.469387755,0.047619048,0.272727273,0.636363636,0.090909091
Thinking now about the LAST TIME this happened to you; how upset were you about what happened?,f13,,,2,[292.0],[11.0],0.386986301,0.558219178,0.054794521,0.363636364,0.545454545,0.090909091
My mother or father (or step/foster mother or father),f14a,,,1,[291.0],[11.0],0.663230241,0.336769759,0,0.636363636,0.363636364,0
My brother or sister (orstep/foster/half siblings),f14b,,,1,[291.0],[11.0],0.728522337,0.271477663,0,0.727272727,0.272727273,0
Cousin,f14j,,,1,[291.0],[11.0],0.680412371,0.319587629,0,0.636363636,0.363636364,0
Aunt/Uncle,f14k,,,1,[291.0],[11.0],0.845360825,0.154639175,0,0.727272727,0.272727273,0
Grandfather/Grandmother,f14l,,,1,[291.0],[11.0],0.900343643,0.099656357,0,1,0,0
Nanny,f14m,,,1,[291.0],[11.0],0.993127148,0.006872852,0,1,0,0
A friend around my age,f14c,0.081104041,+,1,[291.0],[11.0],0.501718213,0.498281787,0,0.545454545,0.454545455,0
Classmate,f14n,,,1,[291.0],[11.0],0.649484536,0.350515464,0,0.727272727,0.272727273,0
Boyfriend/Girlfriend,f14o,,,1,[291.0],[11.0],0.900343643,0.099656357,0,0.818181818,0.181818182,0
A teacher,f14d,,,1,[291.0],[11.0],0.900343643,0.099656357,0,0.909090909,0.090909091,0
Someone whose job it is to help children,f14e,,,1,[291.0],[11.0],0.975945017,0.024054983,0,1,0,0
Godfather/Godmother,f14p,,,1,[291.0],[11.0],0.951890034,0.048109966,0,1,0,0
Priest/Pastor/Nun,f14q,,,1,[291.0],[11.0],0.989690722,0.010309278,0,1,0,0
Neighbor,f14r,,,1,[291.0],[11.0],0.865979381,0.134020619,0,0.818181818,0.181818182,0
Another adult I trust,f14f,,,1,[291.0],[11.0],0.886597938,0.113402062,0,0.909090909,0.090909091,0
Someone else,f14g,,,1,[291.0],[11.0],0.93814433,0.06185567,0,0.909090909,0.090909091,0
I didn't talk to anyone,f14h,,,1,[291.0],[11.0],0.934707904,0.065292096,0,1,0,0
Prefer not to say,f14i,,,1,[291.0],[11.0],0.951890034,0.048109966,0,0.909090909,0.090909091,0
The last time something happened online that bothered or upset you in some way; how long did you feel like that for?,f15,1.763360487,+,2,[284.0],[11.0],0.482394366,0.492957746,0.024647887,0.454545455,0.454545455,0.090909091
I ignored the problem or hoped the problem would go away by itself,f16a,,,1,[275.0],[11.0],0.447272727,0.552727273,0,0.454545455,0.545454545,0
I closed the window or app,f16b,,,1,[275.0],[11.0],0.821818182,0.178181818,0,0.909090909,0.090909091,0
I felt a bit guilty about what went wrong,f16c,,,1,[275.0],[11.0],0.778181818,0.221818182,0,0.727272727,0.272727273,0
I tried to get the other person to leave me alone,f16d,,,1,[275.0],[11.0],0.869090909,0.130909091,0,0.909090909,0.090909091,0
I tried to get back at the other person,f16e,,,1,[275.0],[11.0],0.981818182,0.018181818,0,1,0,0
I stopped using the internet for a while,f16f,,,1,[275.0],[11.0],0.803636364,0.196363636,0,0.909090909,0.090909091,0
I deleted any messages from the other person,f16g,,,1,[275.0],[11.0],0.792727273,0.207272727,0,0.909090909,0.090909091,0
I changed my privacy/ contact settings,f16h,,,1,[275.0],[11.0],0.92,0.08,0,1,0,0
I blocked the person from contacting me,f16i,,,1,[275.0],[11.0],0.829090909,0.170909091,0,0.909090909,0.090909091,0
I reported the problem online  (e.g.; clicked on a ‘report abuse’ button; contacted an internet advisor or Internet Service Provider (ISP)),f16j,,,1,[275.0],[11.0],0.909090909,0.090909091,0,1,0,0
Other actions taken,f16k,,,1,[275.0],[11.0],0.945454545,0.054545455,0,0.909090909,0.090909091,0
In the PAST YEAR; has anyone ever treated you in a hurtful or nasty way?,f18,5.018920767,-,2,[1743.0],[72.0],0.730349971,0.239816408,0.02983362,0.638888889,0.291666667,0.069444444
In the PAST YEAR; how often did this happen?,f19,0.496420791,+,2,[414.0],[21.0],0.502415459,0.458937198,0.038647343,0.571428571,0.380952381,0.047619048
In person face-to-face (by someone with you in the same place),f20a,0.431171973,+,2,[412.0],[21.0],0.5,0.480582524,0.019417476,0.523809524,0.476190476,0
Via a mobile phone or online device (computer;tablet; etc.),f20b,0.160777688,-,2,[411.0],[21.0],0.459854015,0.506082725,0.03406326,0.428571429,0.523809524,0.047619048
By mobile phone calls,f21a,,,1,[201.0],[12.0],0.731343284,0.268656716,0,0.916666667,0.083333333,0
By messages sent to me on my phone (SMS/TEXT or MMS),f21b,,,1,[201.0],[12.0],0.631840796,0.368159204,0,0.416666667,0.583333333,0
On a social networking site (e.g. Facebook; Twitter etc.),f21c,0.414690774,-,1,[201.0],[12.0],0.427860697,0.572139303,0,0.333333333,0.666666667,0
On a media sharing platform (YouTube; Instagram; Flickr),f21d,,,1,[201.0],[12.0],0.905472637,0.094527363,0,0.916666667,0.083333333,0
By instant messaging (MSN; What’s app; Skype etc.),f21e,,,1,[201.0],[12.0],0.950248756,0.049751244,0,1,0,0
In a chatroom,f21f,,,1,[110.0],[2.0],0.727272727,0.272727273,0,1,0,0
In an online game,f21g,,,1,[108.0],[5.0],0.824074074,0.175925926,0,1,0,0
Some other way,f21h,,,1,[201.0],[12.0],0.910447761,0.089552239,0,0.916666667,0.083333333,0
Prefer not to say,f21i,,,1,[201.0],[12.0],0.990049751,0.009950249,0,1,0,0
Nasty or hurtful messages were sent to me,f22a,7.352164564,+,2,[410.0],[21.0],0.43902439,0.541463415,0.019512195,0.571428571,0.333333333,0.095238095
Nasty or hurtful messages were passed around or posted where others could see,f22b,0.609412777,+,2,[404.0],[21.0],0.70049505,0.282178218,0.017326733,0.761904762,0.238095238,0
I was left out or excluded from a group or activity on the internet,f22c,1.545567016,-,2,[401.0],[21.0],0.688279302,0.279301746,0.032418953,0.619047619,0.380952381,0
I was threatened on the internet,f22d,1.075394042,-,2,[399.0],[21.0],0.696741855,0.288220551,0.015037594,0.619047619,0.380952381,0
Other nasty or hurtful things happened to me on the internet,f22e,1.343199318,+,2,[400.0],[21.0],0.6025,0.3725,0.025,0.714285714,0.285714286,0
Thinking of the last time someone treated you in a hurtful or nasty way; how did you feel?,f23,3.31650435,+,2,[389.0],[21.0],0.30848329,0.632390746,0.059125964,0.380952381,0.476190476,0.142857143
In the PAST YEAR; have you EVER treated someone else in a hurtful or nasty way?,f24,8.354047078,-,2,[1717.0],[71.0],0.812463599,0.15783343,0.02970297,0.676056338,0.281690141,0.042253521
In the PAST YEAR; how often have you treated someone in this way?,f25,3.057915773,-,2,[274.0],[20.0],0.532846715,0.434306569,0.032846715,0.4,0.5,0.1
In person face-to-face (a person that is together with you in the same place at the same time),f26a,0.994962436,-,2,[273.0],[20.0],0.494505495,0.487179487,0.018315018,0.45,0.5,0.05
Via a mobile phone or online device (computer; tablet; etc.),f26b,4.735043367,+,2,[263.0],[20.0],0.501901141,0.47148289,0.02661597,0.75,0.25,0
By mobile phone calls,f27a,,,1,[119.0],[5.0],0.789915966,0.210084034,0,0.8,0.2,0
By messages sent by the phone (SMS/Text or MMS),f27b,,,1,[119.0],[5.0],0.630252101,0.369747899,0,0.4,0.6,0
On a social networking site (e.g.; Facebook; Twitter),f27c,,,1,[119.0],[5.0],0.43697479,0.56302521,0,0.4,0.6,0
By instant messaging (MSN; WhatsApp; Skype etc.),f27d,,,1,[119.0],[5.0],0.932773109,0.067226891,0,1,0,0
On a media sharing platform (YouTube; Instagram; Flickr),f27e,,,1,[119.0],[5.0],0.932773109,0.067226891,0,1,0,0
In a chatroom,f27f,,,1,[65.0],[1.0],0.753846154,0.246153846,0,0,1,0
In an online game,f27g,,,1,[77.0],[4.0],0.766233766,0.233766234,0,0.75,0.25,0
Some other way,f27h,,,1,[119.0],[5.0],0.924369748,0.075630252,0,0.6,0.4,0
Prefer not to say,f27i,,,1,[119.0],[5.0],0.983193277,0.016806723,0,0.8,0.2,0
In the PAST YEAR; have you EVER SEEN any sexual images?,f28,4.236331783,+,2,[1682.0],[70.0],0.678953627,0.292508918,0.028537455,0.657142857,0.271428571,0.071428571
If you have seen images of this kind; how did you feel about what you saw?,f29,,,3,[493.0],[20.0],0.099391481,0.182555781,0.718052738,0.1,0.3,0.6
In a magazine or book,f31a,1.963371173,+,2,[503.0],[19.0],0.590457256,0.371769384,0.03777336,0.736842105,0.263157895,0
On television; film,f31b,3.855323409,+,2,[501.0],[19.0],0.317365269,0.660678643,0.021956088,0.526315789,0.473684211,0
Via a mobile phone; computer; tablet or anyother online device,f31c,3.716005273,+,2,[500.0],[19.0],0.278,0.696,0.026,0.473684211,0.526315789,0
On an online video sharing platform (e.g. YouTube; [add local examples]),f32d,,,1,[306.0],[10.0],0.467320261,0.532679739,0,0.5,0.5,0
On an online photo sharing platform (e.g. Instagram; Flickr; [add local examples]),f32e,,,1,[185.0],[5.0],0.837837838,0.162162162,0,1,0,0
On a social networking site (e.g. Facebook; Twitter; [add local examples]),f32f,,,1,[175.0],[4.0],0.257142857,0.742857143,0,0.25,0.75,0
In a chatroom,f32g,,,1,[342.0],[10.0],0.891812865,0.108187135,0,1,0,0
In an online game,f32h,,,1,[342.0],[10.0],0.938596491,0.061403509,0,1,0,0
On an adult/X-rated website,f32i,,,1,[342.0],[10.0],0.918128655,0.081871345,0,0.8,0.2,0
By popups on the internet (unrequested windows that appear during web surfing),f32j,,,1,[342.0],[10.0],0.888888889,0.111111111,0,0.9,0.1,0
By instant messaging (MSN; WhatsApp; Skype; [add local examples]),f32k,,,1,[342.0],[10.0],0.976608187,0.023391813,0,1,0,0
By text (SMS); images (MMS); or otherwise on my mobile phone,f32l,,,1,[342.0],[10.0],0.947368421,0.052631579,0,1,0,0
By Bluetooth,f32m,,,1,[342.0],[10.0],0.953216374,0.046783626,0,1,0,0
In an advert,f32n,,,1,[342.0],[10.0],0.897660819,0.102339181,0,0.9,0.1,0
Prefer not to say,f32o,,,1,[342.0],[10.0],0.970760234,0.029239766,0,1,0,0
A sexual image or video of someone naked,f33a,,,2,[341.0],[10.0],0.284457478,0.671554252,0.04398827,0.5,0.5,0
A sexual image or video that shows someone's 'private parts' [translate as appropriate],f33b,,,2,[341.0],[10.0],0.33431085,0.618768328,0.046920821,0.4,0.6,0
An image or video that shows sexual acts or people having sex,f33c,,,2,[339.0],[10.0],0.489675516,0.460176991,0.050147493,0.3,0.7,0
An image or video that shows sexual acts in a violent way,f33d,,,2,[338.0],[10.0],0.642011834,0.316568047,0.041420118,0.5,0.5,0
Something else sexual or embarrassing,f33e,,,2,[342.0],[10.0],0.330409357,0.64619883,0.023391813,0.3,0.7,0
In the PAST YEAR; have you received any sexual messages (this could be words; pictures or videos) at least once?,f34,0.055874431,-,2,[1673.0],[69.0],0.81649731,0.158995816,0.024506874,0.811594203,0.15942029,0.028985507
If you have received any sexual messages; how did you feel about what you saw?,f35,,,3,[265.0],[11.0],0.116981132,0.166037736,0.716981132,0.090909091,0.272727273,0.636363636
By mobile phone calls,f37a,,,2,[271.0],[11.0],0.712177122,0.254612546,0.033210332,0.727272727,0.272727273,0
By text messages sent to me on my phone (SMS/text or MMS),f37b,,,2,[271.0],[11.0],0.645756458,0.346863469,0.007380074,0.454545455,0.545454545,0
On a social networking site (e.g.; Facebook; Twitter etc.),f37c,,,2,[272.0],[11.0],0.25,0.720588235,0.029411765,0.454545455,0.545454545,0
On a media sharing platform (YouTube; Instagram; Flickr),f37d,,,2,[272.0],[11.0],0.680147059,0.294117647,0.025735294,0.818181818,0.181818182,0
By IM (MSN; WhatsApp; Skype; etc.),f37e,,,2,[267.0],[11.0],0.775280899,0.205992509,0.018726592,0.727272727,0.272727273,0
In a chatroom (video chat),f37f,,,2,[266.0],[11.0],0.703007519,0.27443609,0.022556391,0.909090909,0.090909091,0
In an online game,f37g,,,2,[268.0],[11.0],0.75,0.22761194,0.02238806,0.818181818,0.181818182,0
In a gaming community (also on the Xbox and other game consoles),f37h,,,2,[262.0],[11.0],0.851145038,0.13740458,0.011450382,0.909090909,0.090909091,0
By 'pop up' (something appears by accident),f37i,,,2,[265.0],[11.0],0.577358491,0.377358491,0.045283019,0.545454545,0.454545455,0
In the PAST YEAR; have you sent or posted any sexual messages at least once? This could be words; pictures or videosabout you or someone else.,f38,,,2,[1665.0],[68.0],0.915315315,0.063663664,0.021021021,0.941176471,0.058823529,0
In the PAST YEAR; how often have you sent or posted sexual messages?,f39,,,2,[105.0],[4.0],0.304761905,0.552380952,0.142857143,0,1,0
I have sent someone a sexual message (e.g.; words; pictures or video) on the internet,f40a,,,2,[106.0],[4.0],0.650943396,0.320754717,0.028301887,0.5,0.5,0
I have posted a sexual message (e.g.; words; pictures or video) where other people could see it on the internet,f40b,,,2,[106.0],[4.0],0.641509434,0.320754717,0.037735849,0.5,0.5,0
I have asked someone on the internet for sexual information about him or herself (like what his or her body looks like without clothes on or sexual things he or she has done),f40c,,,2,[106.0],[4.0],0.688679245,0.245283019,0.066037736,0.75,0,0.25
Ways of physically harming or hurting themselves,f41a,5.158145755,-,2,[1655.0],[67.0],0.842296073,0.137160121,0.020543807,0.776119403,0.223880597,0
Ways to be very thin (such as being anorexic or bulimic),f41c,0.890231727,-,2,[1634.0],[67.0],0.861689106,0.11505508,0.023255814,0.820895522,0.149253731,0.029850746
Hate messages that attack certain groups or individuals (e.g.; people of different colour or religion or nationality),f41d,0.615053781,+,2,[1635.0],[66.0],0.859938838,0.119266055,0.020795107,0.893939394,0.090909091,0.015151515
Their experiences of taking drugs,f41e,1.209813893,-,2,[1653.0],[65.0],0.861464005,0.110707804,0.027828191,0.815384615,0.153846154,0.030769231
Gory or violent images,f41f,1.060024601,-,2,[1644.0],[66.0],0.771289538,0.21350365,0.015206813,0.772727273,0.227272727,0
Ways of courtship,f41g,3.867396771,-,2,[1651.0],[68.0],0.700181708,0.278013325,0.021804967,0.588235294,0.382352941,0.029411765
Ways how to find a relationship,f41h,2.08339507,+,2,[1637.0],[66.0],0.905925473,0.078802688,0.015271839,0.954545455,0.045454545,0
Ways to join in gambling,f41i,,,2,[1640.0],[66.0],0.918292683,0.062804878,0.018902439,0.863636364,0.090909091,0.045454545
About cheating,f41l,2.509603227,-,2,[1651.0],[67.0],0.847365233,0.133858268,0.018776499,0.776119403,0.194029851,0.029850746
About drinking alcohol,f41n,0.260238472,+,2,[1650.0],[67.0],0.875151515,0.109090909,0.015757576,0.895522388,0.089552239,0.014925373
About smoking,f41o,1.215560233,+,2,[1652.0],[66.0],0.868038741,0.119854722,0.012106538,0.909090909,0.075757576,0.015151515
About bullying,f41p,1.082652397,-,2,[1657.0],[67.0],0.749547375,0.235365118,0.015087508,0.71641791,0.253731343,0.029850746
Somebody used my personal information in a way I didn't like,f43a,1.813172097,-,2,[1654.0],[66.0],0.844619105,0.128778718,0.026602177,0.803030303,0.181818182,0.015151515
The device (e.g.; phone; tablet; computer) I use got a virus or spyware,f43b,6.126381853,-,2,[1656.0],[66.0],0.783816425,0.198067633,0.018115942,0.727272727,0.212121212,0.060606061
I lost money by being cheated on the internet,f43c,,,2,[1652.0],[67.0],0.911622276,0.070823245,0.017554479,0.835820896,0.134328358,0.029850746
Somebody used my password to access my information or to pretend to be me,f43d,2.832260562,+,2,[1651.0],[67.0],0.87098728,0.114476075,0.014536644,0.910447761,0.059701493,0.029850746
Somebody created a page or image about me that was hostile or hurtful,f43e,,,2,[1647.0],[66.0],0.935033394,0.05343048,0.011536126,0.984848485,0.015151515,0
I spent too much money on online games or in-app purchases,f43f,5.056671246,-,2,[1054.0],[41.0],0.824478178,0.160341556,0.015180266,0.707317073,0.243902439,0.048780488
I was asked to make an in-app purchase when playing an online game (e.g.; to do well in the game),f43g,0.937210734,+,2,[1044.0],[41.0],0.859195402,0.126436782,0.014367816,0.902439024,0.097560976,0
Someone found out where I was because they tracked my phone or device,f43h,,,2,[1629.0],[67.0],0.928176796,0.059545734,0.012277471,0.895522388,0.104477612,0
I have gone without eating or sleeping because of the time I spent on the internet,f45a,1.24868231,-,2,[1671.0],[68.0],0.760622382,0.23219629,0.007181329,0.720588235,0.279411765,0
I have experienced conflicts with family or friends because of the time I spent on the internet,f45b,1.009454607,-,2,[1669.0],[66.0],0.742959856,0.24505692,0.011983223,0.727272727,0.272727273,0
My grades have dropped because of the time I spent on the internet,f45c,1.497911283,-,2,[1676.0],[68.0],0.809665871,0.179594272,0.010739857,0.75,0.235294118,0.014705882
I have tried unsuccessfully to spend less time on the internet,f45d,1.318688358,-,2,[1657.0],[66.0],0.697646349,0.283645142,0.018708509,0.636363636,0.348484848,0.015151515
I think the amount of time I spend on the internet causes problems for me,f45e,3.205416878,-,2,[1647.0],[67.0],0.701275046,0.282331512,0.016393443,0.656716418,0.298507463,0.044776119
I feel I have to check my device (e.g. phone or computer) to see if anything new has just happened,f45f,1.382838606,-,2,[1642.0],[67.0],0.637028015,0.348355664,0.014616322,0.567164179,0.417910448,0.014925373
Here is a picture of a ladder. The top of the ladder ‘10’ is the best possible life for you and the bottom ‘0’ is the worst possible life for you. In general; where on the ladder do you feel you stand at the moment? Mark the circle next to the number that best describes where you stand.,h1,18.15963794,+,1,[1655.0],[71.0],0.149848943,0.850151057,0,0.338028169,0.661971831,0
Your mother or father (including step/foster mother or father),h2a,0.004918787,+,1,[1697.0],[73.0],0.379493223,0.620506777,0,0.383561644,0.616438356,0
Your brother or sister (including step siblings),h2b,3.554450316,+,1,[1695.0],[73.0],0.660766962,0.339233038,0,0.767123288,0.232876712,0
Cousin,h2i,0.101545525,+,1,[1694.0],[73.0],0.792798111,0.207201889,0,0.808219178,0.191780822,0
Aunt/Uncle,h2j,1.349401365,-,1,[1696.0],[73.0],0.880896226,0.119103774,0,0.835616438,0.164383562,0
Grandfather/Grandmother,h2k,0.426580952,+,1,[1695.0],[73.0],0.863716814,0.136283186,0,0.890410959,0.109589041,0
A friend around my age,h2c,3.566080525,+,1,[1695.0],[73.0],0.616519174,0.383480826,0,0.726027397,0.273972603,0
Boyfriend/Girlfriend,h2l,,,1,[1695.0],[73.0],0.958702065,0.041297935,0,0.931506849,0.068493151,0
A teacher,h2d,2.026963057,+,1,[1695.0],[73.0],0.910914454,0.089085546,0,0.95890411,0.04109589,0
Classmate,h2m,0.002625497,-,1,[1695.0],[73.0],0.810619469,0.189380531,0,0.808219178,0.191780822,0
Someone whose job it is to help children [give examples if needed],h2e,,,1,[1694.0],[73.0],0.984651712,0.015348288,0,1,0,0
Nanny,h2n,,,1,[1694.0],[73.0],0.996458087,0.003541913,0,1,0,0
Godfather/Godmother,h2o,,,1,[1694.0],[73.0],0.975206612,0.024793388,0,1,0,0
Priest/Pastor/Nun,h2p,,,1,[1694.0],[73.0],0.985242031,0.014757969,0,1,0,0
