Dataset 1,Dataset 2,,,,,,,,,,,
C:\Users\arnulfo azcarraga\Desktop\Rgee\OOTO UNICEF\Chitest\Datasets\ready for OOTO\preprocessed\9to11_p.csv,C:\Users\arnulfo azcarraga\Desktop\Rgee\OOTO UNICEF\Chitest\Datasets\ready for OOTO\preprocessed\12to14_p.csv,,,,,,,,,,,
Question,Feature,Chi,Higher Or Lower,Degrees of Freedom,N1,N2,P1(a),P1(b),P1(etc),P2(a),P2(b),P2(etc)
I talk about private things online which I do not talk about with people face-to-face,d2f,29.56511954,-,2,[354.0],[514.0],0.717514124,0.237288136,0.04519774,0.60311284,0.387159533,0.009727626
I feel safe on the internet,d2a,4.297447755,-,2,[531.0],[619.0],0.525423729,0.43126177,0.043314501,0.491114701,0.481421648,0.027463651
I find other people are kind and helpful on the internet,d2b,4.588335995,-,2,[525.0],[618.0],0.424761905,0.52952381,0.045714286,0.365695793,0.59223301,0.042071197
I know what to do if someone acts online in a way I don't like,d2c,24.20380335,-,2,[364.0],[518.0],0.467032967,0.480769231,0.052197802,0.32046332,0.646718147,0.032818533
How were your social media accounts created?,d12,20.08476711,-,4,[333.0],[500.0],0.198198198,0.162162162,0.63963964,0.304,0.172,0.524
How old were you when you first had your social media account?,d13,,,3,[346.0],[517.0],0.586705202,0.014450867,0.398843931,0.489361702,0.406189555,0.104448743
Facebook/Messenger,d14a,15.71585755,+,2,[349.0],[515.0],0.080229226,0.633237822,0.286532951,0.042718447,0.551456311,0.405825243
Skype,d14b,1.783829861,-,2,[296.0],[448.0],0.844594595,0.097972973,0.057432432,0.825892857,0.127232143,0.046875
Viber,d14c,1.205954562,-,2,[290.0],[435.0],0.910344828,0.068965517,0.020689655,0.894252874,0.071264368,0.034482759
WeChat,d14d,0.835501139,-,2,[290.0],[434.0],0.910344828,0.05862069,0.031034483,0.889400922,0.071428571,0.039170507
Instagram,d14e,6.581573194,-,2,[292.0],[441.0],0.821917808,0.119863014,0.058219178,0.743764172,0.185941043,0.070294785
Twitter,d14f,9.695915991,-,2,[291.0],[436.0],0.879725086,0.079037801,0.041237113,0.793577982,0.151376147,0.055045872
YouTube/Hangout (Google),d14g,7.808011546,-,2,[315.0],[464.0],0.688888889,0.228571429,0.082539683,0.599137931,0.318965517,0.081896552
Minecraft,d15a,23.92970294,+,1,[325.0],[366.0],0.409230769,0.590769231,0,0.595628415,0.404371585,0
Warcraft DOTA,d15b,0.634772161,-,1,[325.0],[366.0],0.855384615,0.144615385,0,0.833333333,0.166666667,0
DOTA 2,d15c,3.104800814,-,1,[325.0],[366.0],0.824615385,0.175384615,0,0.770491803,0.229508197,0
League of Legends,d15d,10.92532842,-,1,[325.0],[366.0],0.784615385,0.215384615,0,0.672131148,0.327868852,0
Counterstrike,d15e,0.734722848,+,1,[325.0],[366.0],0.652307692,0.347692308,0,0.683060109,0.316939891,0
Others,d15f,0.692091805,+,1,[326.0],[366.0],0.536809816,0.463190184,0,0.568306011,0.431693989,0
Thinking of the profile you use most often; about how many people are you in contact with when using [named profile]?,d7a,,,14,[316.0],[492.0],0.113924051,0.199367089,0.686708861,0.069105691,0.095528455,0.835365854
More or less; how many are your followers?,d7b,,,10,[270.0],[407.0],0.307407407,0.214814815,0.477777778,0.189189189,0.174447174,0.636363636
More or less; how many do you follow?,d7c,,,10,[266.0],[419.0],0.327067669,0.221804511,0.45112782,0.23627685,0.207637232,0.556085919
Is you [named profile] set to...?,d8,8.777036432,+,3,[320.0],[506.0],0.553125,0.2875,0.159375,0.626482213,0.247035573,0.126482213
A photo that clearly shows your face,d9a,3.687876009,-,2,[340.0],[514.0],0.185294118,0.776470588,0.038235294,0.155642023,0.822957198,0.021400778
Your last name,d9b,3.381977936,-,2,[341.0],[514.0],0.146627566,0.818181818,0.035190616,0.112840467,0.86381323,0.023346304
Your address,d9c,19.79346866,-,2,[335.0],[512.0],0.450746269,0.471641791,0.07761194,0.333984375,0.623046875,0.04296875
Your phone number,d9d,7.174544837,-,2,[330.0],[509.0],0.651515152,0.3,0.048484848,0.561886051,0.388998035,0.049115914
Your school,d9e,40.97483026,-,2,[337.0],[505.0],0.543026706,0.391691395,0.065281899,0.348514851,0.615841584,0.035643564
Your correct age,d9f,7.186204495,-,2,[335.0],[506.0],0.43880597,0.495522388,0.065671642,0.391304348,0.57312253,0.035573123
An age that is not your real age,d9g,6.18549171,-,2,[328.0],[502.0],0.643292683,0.280487805,0.076219512,0.615537849,0.34063745,0.043824701
Places you've dined and visited,d9j,5.049107461,-,2,[326.0],[499.0],0.653374233,0.26993865,0.076687117,0.653306613,0.304609218,0.042084168
Pictures showing whole body,d9k,2.338202458,-,2,[326.0],[506.0],0.687116564,0.26993865,0.042944785,0.654150198,0.314229249,0.031620553
How do you usually respond to requests from people to become your ‘friends’ online?,d10,8.827609803,+,3,[329.0],[503.0],0.164133739,0.750759878,0.085106383,0.192842942,0.737574553,0.069582505
Looked for new friends or contacts on the internet,f1a,10.55481029,-,2,[513.0],[610.0],0.844054581,0.140350877,0.015594542,0.785245902,0.208196721,0.006557377
Sent my personal information (e.g.; my full name; address or phone number) to someone I have never met face-to-face,f1b,4.906441877,-,2,[496.0],[600.0],0.931451613,0.056451613,0.012096774,0.893333333,0.09,0.016666667
Added people to my friends or contacts I have never met face-to-face,f1c,7.915663729,-,2,[495.0],[609.0],0.862626263,0.123232323,0.014141414,0.80952381,0.18226601,0.008210181
Pretended to be a different kind of person online from who I really am,f1d,1.521795598,-,2,[493.0],[596.0],0.920892495,0.062880325,0.016227181,0.899328859,0.080536913,0.020134228
Sent a photo or video of myself to someone I have never met face-to-face,f1e,3.248514142,-,2,[498.0],[599.0],0.925702811,0.062248996,0.012048193,0.894824708,0.085141903,0.020033389
Post my current location and those I had been to,f1f,0.628174039,-,2,[489.0],[596.0],0.90797546,0.077709611,0.014314928,0.894295302,0.087248322,0.018456376
Post my new stuff and clothes,f1g,1.727173867,+,2,[496.0],[603.0],0.887096774,0.106854839,0.006048387,0.890547264,0.096185738,0.013266998
Post messages or love quotes that pertain to the boy/girl whom I have a crush on,f1h,12.29311968,-,2,[497.0],[604.0],0.921529175,0.054325956,0.024144869,0.870860927,0.112582781,0.016556291
Seek to get acquainted or befriend persons who are Non-Filipinos (foreigners),f1i,0.410751172,-,2,[493.0],[602.0],0.937119675,0.050709939,0.012170385,0.930232558,0.053156146,0.016611296
Engage in chat activities with a person whom I only met on internet,f1j,6.886558686,-,2,[491.0],[604.0],0.883910387,0.107942974,0.00814664,0.82781457,0.162251656,0.009933775
Do video calls with a person whom I only met on internet,f1k,0.414629446,+,2,[491.0],[593.0],0.898167006,0.091649695,0.010183299,0.902192243,0.084317032,0.013490725
Receive offers or gifts online,f1l,0.430276493,+,2,[493.0],[592.0],0.906693712,0.081135903,0.012170385,0.915540541,0.070945946,0.013513514
Have you EVER had contact on the internet with someone you have not met face-to-face before?,f2,24.40918661,-,2,[337.0],[427.0],0.824925816,0.127596439,0.047477745,0.68852459,0.274004684,0.037470726
In the PAST YEAR; have you at least once met anyone face to face that you first got to know on the internet?,f3,2.550840951,-,2,[504.0],[608.0],0.857142857,0.117063492,0.025793651,0.827302632,0.149671053,0.023026316
If you met anyone face-to-face that you first got to know on the internet; how did you feel about it?,f4,,,3,[63.0],[89.0],0.571428571,0.253968254,0.174603175,0.629213483,0.235955056,0.134831461
Thinking about the LAST TIME you were bothered by meeting someone in this way; how old was the person you actually met?,f5,,,2,[9.0],[7.0],0.444444444,0.555555556,0,0.857142857,0,0.142857143
I've met face to face with a person I just got acquainted on internet but is already known by my friends or relatives,f6a,,,2,[62.0],[87.0],0.483870968,0.5,0.016129032,0.310344828,0.67816092,0.011494253
I've met face to face with a person I just got acquainted on internet and who is totally unknown to anyone I personally know,f6b,,,2,[62.0],[87.0],0.677419355,0.322580645,0,0.471264368,0.505747126,0.022988506
I've met with a foreigner (different nationality),f6c,,,2,[63.0],[89.0],0.603174603,0.365079365,0.031746032,0.662921348,0.325842697,0.011235955
I've personally met with an older person,f6d,,,2,[64.0],[88.0],0.453125,0.515625,0.03125,0.454545455,0.511363636,0.034090909
I've met face to face with a person I just got acquainted on internet and she/he was accompanied by another girl/boy,f6e,,,2,[63.0],[88.0],0.666666667,0.317460317,0.015873016,0.534090909,0.465909091,0
I've met with another woman like myself whom i just got acquainted with on internet,f6f,5.17433444,-,1,[21.0],[34.0],0.571428571,0.428571429,0,0.264705882,0.735294118,0
I've met with another man like myself whom i just got acquainted with on internet,f6g,,,2,[40.0],[53.0],0.45,0.55,0,0.528301887,0.433962264,0.037735849
I've met with LGBT person (lesbian; gay; bisexual; transgender) whom i just got acquainted with on internet,f6h,,,2,[64.0],[84.0],0.828125,0.15625,0.015625,0.654761905,0.321428571,0.023809524
In the PAST YEAR; how many people have you gone to a meeting with face-to-face that you had previously only met on the internet?,f8,,,2,[60.0],[87.0],0.216666667,0.783333333,0,0.172413793,0.816091954,0.011494253
In the PAST YEAR; has anything EVER happened online that bothered or upset you in some way? (e.g.; made you feel uncomfortable; scared or that you shouldn’t have seen it)?,f11,10.18254149,-,2,[499.0],[590.0],0.863727455,0.114228457,0.022044088,0.789830508,0.174576271,0.03559322
In the PAST YEAR; how often did this happen?,f12,1.308287237,-,2,[59.0],[103.0],0.508474576,0.423728814,0.06779661,0.436893204,0.514563107,0.048543689
Thinking now about the LAST TIME this happened to you; how upset were you about what happened?,f13,2.502244728,+,2,[57.0],[102.0],0.298245614,0.649122807,0.052631579,0.411764706,0.519607843,0.068627451
My mother or father (or step/foster mother or father),f14a,0.01160698,+,1,[58.0],[99.0],0.637931034,0.362068966,0,0.646464646,0.353535354,0
My brother or sister (orstep/foster/half siblings),f14b,0.689146997,-,1,[58.0],[99.0],0.75862069,0.24137931,0,0.696969697,0.303030303,0
Cousin,f14j,0.602979811,-,1,[58.0],[99.0],0.706896552,0.293103448,0,0.646464646,0.353535354,0
Aunt/Uncle,f14k,0.014916039,+,1,[58.0],[99.0],0.810344828,0.189655172,0,0.818181818,0.181818182,0
Grandfather/Grandmother,f14l,0.003682477,-,1,[58.0],[99.0],0.862068966,0.137931034,0,0.858585859,0.141414141,0
Nanny,f14m,,,1,[58.0],[99.0],1,0,0,0.97979798,0.02020202,0
A friend around my age,f14c,5.945912646,-,1,[58.0],[99.0],0.74137931,0.25862069,0,0.545454545,0.454545455,0
Classmate,f14n,0.727936909,-,1,[58.0],[99.0],0.74137931,0.25862069,0,0.676767677,0.323232323,0
Boyfriend/Girlfriend,f14o,,,1,[58.0],[99.0],1,0,0,0.939393939,0.060606061,0
A teacher,f14d,,,1,[58.0],[99.0],0.965517241,0.034482759,0,0.888888889,0.111111111,0
Someone whose job it is to help children,f14e,,,1,[58.0],[99.0],0.982758621,0.017241379,0,0.97979798,0.02020202,0
Godfather/Godmother,f14p,,,1,[58.0],[99.0],0.896551724,0.103448276,0,0.939393939,0.060606061,0
Priest/Pastor/Nun,f14q,,,1,[58.0],[99.0],1,0,0,0.96969697,0.03030303,0
Neighbor,f14r,3.332593051,-,1,[58.0],[99.0],0.931034483,0.068965517,0,0.828282828,0.171717172,0
Another adult I trust,f14f,,,1,[58.0],[99.0],0.931034483,0.068965517,0,0.909090909,0.090909091,0
Someone else,f14g,,,1,[58.0],[99.0],0.965517241,0.034482759,0,0.929292929,0.070707071,0
I didn't talk to anyone,f14h,,,1,[58.0],[99.0],0.913793103,0.086206897,0,0.949494949,0.050505051,0
Prefer not to say,f14i,,,1,[58.0],[99.0],0.965517241,0.034482759,0,0.909090909,0.090909091,0
The last time something happened online that bothered or upset you in some way; how long did you feel like that for?,f15,,,2,[57.0],[95.0],0.49122807,0.49122807,0.01754386,0.442105263,0.505263158,0.052631579
I ignored the problem or hoped the problem would go away by itself,f16a,3.99486602,-,1,[54.0],[95.0],0.537037037,0.462962963,0,0.368421053,0.631578947,0
I closed the window or app,f16b,0.411334947,+,1,[54.0],[95.0],0.777777778,0.222222222,0,0.821052632,0.178947368,0
I felt a bit guilty about what went wrong,f16c,0.994258051,+,1,[54.0],[95.0],0.740740741,0.259259259,0,0.810526316,0.189473684,0
I tried to get the other person to leave me alone,f16d,0.324032168,+,1,[54.0],[95.0],0.851851852,0.148148148,0,0.884210526,0.115789474,0
I tried to get back at the other person,f16e,,,1,[54.0],[95.0],0.981481481,0.018518519,0,0.957894737,0.042105263,0
I stopped using the internet for a while,f16f,0.250678867,-,1,[54.0],[95.0],0.833333333,0.166666667,0,0.8,0.2,0
I deleted any messages from the other person,f16g,0.120702713,-,1,[54.0],[95.0],0.833333333,0.166666667,0,0.810526316,0.189473684,0
I changed my privacy/ contact settings,f16h,,,1,[54.0],[95.0],0.944444444,0.055555556,0,0.926315789,0.073684211,0
I blocked the person from contacting me,f16i,1.263394004,-,1,[54.0],[95.0],0.907407407,0.092592593,0,0.842105263,0.157894737,0
I reported the problem online  (e.g.; clicked on a ‘report abuse’ button; contacted an internet advisor or Internet Service Provider (ISP)),f16j,,,1,[54.0],[95.0],0.925925926,0.074074074,0,0.915789474,0.084210526,0
Other actions taken,f16k,,,1,[54.0],[95.0],0.907407407,0.092592593,0,0.936842105,0.063157895,0
In the PAST YEAR; has anyone ever treated you in a hurtful or nasty way?,f18,3.096383346,-,2,[529.0],[618.0],0.769376181,0.213610586,0.017013233,0.736245955,0.233009709,0.030744337
In the PAST YEAR; how often did this happen?,f19,,,2,[112.0],[141.0],0.419642857,0.571428571,0.008928571,0.468085106,0.496453901,0.035460993
In person face-to-face (by someone with you in the same place),f20a,,,2,[112.0],[137.0],0.348214286,0.633928571,0.017857143,0.605839416,0.379562044,0.01459854
Via a mobile phone or online device (computer;tablet; etc.),f20b,17.67796362,-,2,[110.0],[141.0],0.654545455,0.309090909,0.036363636,0.390070922,0.567375887,0.042553191
By mobile phone calls,f21a,3.2041362,+,1,[34.0],[77.0],0.647058824,0.352941176,0,0.805194805,0.194805195,0
By messages sent to me on my phone (SMS/TEXT or MMS),f21b,0.003013202,+,1,[34.0],[77.0],0.735294118,0.264705882,0,0.74025974,0.25974026,0
On a social networking site (e.g. Facebook; Twitter etc.),f21c,0.003978327,-,1,[34.0],[77.0],0.5,0.5,0,0.493506494,0.506493506,0
On a media sharing platform (YouTube; Instagram; Flickr),f21d,,,1,[34.0],[77.0],0.911764706,0.088235294,0,0.883116883,0.116883117,0
By instant messaging (MSN; What’s app; Skype etc.),f21e,,,1,[34.0],[77.0],0.941176471,0.058823529,0,0.935064935,0.064935065,0
In a chatroom,f21f,,,1,[16.0],[38.0],0.8125,0.1875,0,0.710526316,0.289473684,0
In an online game,f21g,,,1,[24.0],[43.0],0.75,0.25,0,0.860465116,0.139534884,0
Some other way,f21h,,,1,[34.0],[77.0],0.852941176,0.147058824,0,0.922077922,0.077922078,0
Prefer not to say,f21i,,,1,[34.0],[77.0],1,0,0,0.974025974,0.025974026,0
Nasty or hurtful messages were sent to me,f22a,,,2,[112.0],[140.0],0.651785714,0.321428571,0.026785714,0.364285714,0.607142857,0.028571429
Nasty or hurtful messages were passed around or posted where others could see,f22b,,,2,[111.0],[135.0],0.738738739,0.243243243,0.018018018,0.718518519,0.266666667,0.014814815
I was left out or excluded from a group or activity on the internet,f22c,,,2,[109.0],[135.0],0.71559633,0.275229358,0.009174312,0.614814815,0.325925926,0.059259259
I was threatened on the internet,f22d,,,2,[106.0],[132.0],0.726415094,0.264150943,0.009433962,0.674242424,0.295454545,0.03030303
Other nasty or hurtful things happened to me on the internet,f22e,,,2,[107.0],[135.0],0.626168224,0.364485981,0.009345794,0.577777778,0.377777778,0.044444444
Thinking of the last time someone treated you in a hurtful or nasty way; how did you feel?,f23,1.456568329,-,2,[104.0],[130.0],0.375,0.576923077,0.048076923,0.330769231,0.584615385,0.084615385
In the PAST YEAR; have you EVER treated someone else in a hurtful or nasty way?,f24,1.282706272,-,2,[527.0],[599.0],0.838709677,0.138519924,0.022770398,0.813021703,0.160267112,0.026711185
In the PAST YEAR; how often have you treated someone in this way?,f25,,,2,[72.0],[99.0],0.472222222,0.527777778,0,0.565656566,0.383838384,0.050505051
In person face-to-face (a person that is together with you in the same place at the same time),f26a,,,2,[72.0],[100.0],0.444444444,0.555555556,0,0.53,0.43,0.04
Via a mobile phone or online device (computer; tablet; etc.),f26b,,,2,[71.0],[95.0],0.661971831,0.323943662,0.014084507,0.452631579,0.505263158,0.042105263
By mobile phone calls,f27a,,,1,[22.0],[46.0],0.590909091,0.409090909,0,0.891304348,0.108695652,0
By messages sent by the phone (SMS/Text or MMS),f27b,0.198517486,-,1,[22.0],[46.0],0.727272727,0.272727273,0,0.673913043,0.326086957,0
On a social networking site (e.g.; Facebook; Twitter),f27c,3.595307241,-,1,[22.0],[46.0],0.590909091,0.409090909,0,0.347826087,0.652173913,0
By instant messaging (MSN; WhatsApp; Skype etc.),f27d,,,1,[22.0],[46.0],0.818181818,0.181818182,0,0.934782609,0.065217391,0
On a media sharing platform (YouTube; Instagram; Flickr),f27e,,,1,[22.0],[46.0],0.772727273,0.227272727,0,0.956521739,0.043478261,0
In a chatroom,f27f,,,1,[10.0],[28.0],0.9,0.1,0,0.678571429,0.321428571,0
In an online game,f27g,,,1,[16.0],[34.0],0.8125,0.1875,0,0.676470588,0.323529412,0
Some other way,f27h,,,1,[22.0],[46.0],0.954545455,0.045454545,0,0.934782609,0.065217391,0
In the PAST YEAR; have you EVER SEEN any sexual images?,f28,17.70836942,-,2,[512.0],[591.0],0.818359375,0.1640625,0.017578125,0.710659898,0.255499154,0.033840948
If you have seen images of this kind; how did you feel about what you saw?,f29,9.416851426,+,3,[85.0],[153.0],0.164705882,0.305882353,0.529411765,0.111111111,0.169934641,0.718954248
In a magazine or book,f31a,,,2,[85.0],[154.0],0.635294118,0.364705882,0,0.590909091,0.38961039,0.019480519
On television; film,f31b,,,2,[86.0],[153.0],0.38372093,0.61627907,0,0.385620915,0.60130719,0.013071895
Via a mobile phone; computer; tablet or anyother online device,f31c,,,2,[87.0],[153.0],0.436781609,0.563218391,0,0.254901961,0.718954248,0.026143791
On an online video sharing platform (e.g. YouTube; [add local examples]),f32d,0.372748862,+,1,[41.0],[94.0],0.390243902,0.609756098,0,0.446808511,0.553191489,0
On an online photo sharing platform (e.g. Instagram; Flickr; [add local examples]),f32e,0.282625416,+,1,[33.0],[64.0],0.818181818,0.181818182,0,0.859375,0.140625,0
On a social networking site (e.g. Facebook; Twitter; [add local examples]),f32f,0.03035982,-,1,[23.0],[58.0],0.347826087,0.652173913,0,0.327586207,0.672413793,0
In a chatroom,f32g,,,1,[48.0],[108.0],0.9375,0.0625,0,0.916666667,0.083333333,0
In an online game,f32h,,,1,[48.0],[108.0],0.854166667,0.145833333,0,0.935185185,0.064814815,0
On an adult/X-rated website,f32i,,,1,[48.0],[108.0],0.958333333,0.041666667,0,0.898148148,0.101851852,0
By popups on the internet (unrequested windows that appear during web surfing),f32j,,,1,[48.0],[108.0],0.854166667,0.145833333,0,0.916666667,0.083333333,0
By instant messaging (MSN; WhatsApp; Skype; [add local examples]),f32k,,,1,[48.0],[108.0],0.958333333,0.041666667,0,0.981481481,0.018518519,0
By text (SMS); images (MMS); or otherwise on my mobile phone,f32l,,,1,[48.0],[108.0],0.9375,0.0625,0,0.962962963,0.037037037,0
By Bluetooth,f32m,,,1,[48.0],[108.0],0.9375,0.0625,0,0.953703704,0.046296296,0
In an advert,f32n,,,1,[48.0],[108.0],0.895833333,0.104166667,0,0.925925926,0.074074074,0
Prefer not to say,f32o,,,1,[48.0],[108.0],0.958333333,0.041666667,0,0.990740741,0.009259259,0
A sexual image or video of someone naked,f33a,,,2,[47.0],[107.0],0.255319149,0.680851064,0.063829787,0.224299065,0.76635514,0.009345794
A sexual image or video that shows someone's 'private parts' [translate as appropriate],f33b,1.292784718,+,2,[47.0],[107.0],0.340425532,0.638297872,0.021276596,0.327102804,0.607476636,0.065420561
An image or video that shows sexual acts or people having sex,f33c,,,2,[47.0],[105.0],0.510638298,0.446808511,0.042553191,0.533333333,0.447619048,0.019047619
An image or video that shows sexual acts in a violent way,f33d,,,2,[46.0],[107.0],0.586956522,0.391304348,0.02173913,0.710280374,0.261682243,0.028037383
Something else sexual or embarrassing,f33e,,,2,[47.0],[107.0],0.319148936,0.617021277,0.063829787,0.345794393,0.644859813,0.009345794
In the PAST YEAR; have you received any sexual messages (this could be words; pictures or videos) at least once?,f34,6.75285594,-,2,[504.0],[588.0],0.884920635,0.093253968,0.021825397,0.833333333,0.144557823,0.022108844
If you have received any sexual messages; how did you feel about what you saw?,f35,,,3,[50.0],[83.0],0.16,0.28,0.56,0.156626506,0.192771084,0.65060241
By mobile phone calls,f37a,,,2,[52.0],[86.0],0.653846154,0.307692308,0.038461538,0.73255814,0.23255814,0.034883721
By text messages sent to me on my phone (SMS/text or MMS),f37b,,,2,[49.0],[86.0],0.591836735,0.408163265,0,0.61627907,0.372093023,0.011627907
On a social networking site (e.g.; Facebook; Twitter etc.),f37c,,,2,[52.0],[85.0],0.365384615,0.634615385,0,0.258823529,0.694117647,0.047058824
On a media sharing platform (YouTube; Instagram; Flickr),f37d,,,2,[51.0],[86.0],0.666666667,0.294117647,0.039215686,0.627906977,0.348837209,0.023255814
By IM (MSN; WhatsApp; Skype; etc.),f37e,,,2,[50.0],[85.0],0.64,0.36,0,0.811764706,0.164705882,0.023529412
In a chatroom (video chat),f37f,,,2,[48.0],[85.0],0.708333333,0.291666667,0,0.682352941,0.294117647,0.023529412
In an online game,f37g,,,2,[50.0],[86.0],0.58,0.4,0.02,0.720930233,0.26744186,0.011627907
In a gaming community (also on the Xbox and other game consoles),f37h,,,2,[48.0],[82.0],0.708333333,0.291666667,0,0.804878049,0.182926829,0.012195122
By 'pop up' (something appears by accident),f37i,,,2,[49.0],[84.0],0.387755102,0.591836735,0.020408163,0.55952381,0.380952381,0.05952381
In the PAST YEAR; have you sent or posted any sexual messages at least once? This could be words; pictures or videosabout you or someone else.,f38,0.685666135,-,2,[498.0],[583.0],0.915662651,0.064257028,0.020080321,0.910806175,0.073756432,0.015437393
In the PAST YEAR; how often have you sent or posted sexual messages?,f39,,,2,[30.0],[43.0],0.266666667,0.7,0.033333333,0.325581395,0.558139535,0.11627907
I have sent someone a sexual message (e.g.; words; pictures or video) on the internet,f40a,,,2,[32.0],[43.0],0.78125,0.1875,0.03125,0.534883721,0.441860465,0.023255814
I have posted a sexual message (e.g.; words; pictures or video) where other people could see it on the internet,f40b,,,2,[31.0],[44.0],0.677419355,0.322580645,0,0.568181818,0.363636364,0.068181818
I have asked someone on the internet for sexual information about him or herself (like what his or her body looks like without clothes on or sexual things he or she has done),f40c,,,2,[32.0],[43.0],0.75,0.21875,0.03125,0.651162791,0.255813953,0.093023256
Ways of physically harming or hurting themselves,f41a,6.881812737,-,2,[494.0],[583.0],0.888663968,0.097165992,0.01417004,0.833619211,0.140651801,0.025728988
Ways to be very thin (such as being anorexic or bulimic),f41c,18.89359931,-,2,[493.0],[570.0],0.93306288,0.056795132,0.010141988,0.849122807,0.122807018,0.028070175
Hate messages that attack certain groups or individuals (e.g.; people of different colour or religion or nationality),f41d,10.83152858,-,2,[493.0],[569.0],0.926977688,0.062880325,0.010141988,0.864674868,0.114235501,0.021089631
Their experiences of taking drugs,f41e,7.975833161,-,2,[496.0],[579.0],0.903225806,0.064516129,0.032258065,0.858376511,0.113989637,0.027633851
Gory or violent images,f41f,8.8648295,-,2,[496.0],[572.0],0.840725806,0.149193548,0.010080645,0.769230769,0.22027972,0.01048951
Ways of courtship,f41g,47.35759266,-,2,[497.0],[578.0],0.871227364,0.110663984,0.018108652,0.711072664,0.278546713,0.010380623
Ways how to find a relationship,f41h,8.583838094,-,2,[491.0],[572.0],0.951120163,0.040733198,0.00814664,0.903846154,0.08041958,0.015734266
Ways to join in gambling,f41i,0.212331701,-,2,[493.0],[573.0],0.918864097,0.064908722,0.016227181,0.910994764,0.071553229,0.017452007
About cheating,f41l,12.94097664,-,2,[496.0],[578.0],0.905241935,0.078629032,0.016129032,0.839100346,0.148788927,0.012110727
About sex,f41m,,,1,[2.0],[2.0],0.5,0.5,0,1,0,0
About drinking alcohol,f41n,4.531055529,-,2,[493.0],[580.0],0.910750507,0.07505071,0.014198783,0.881034483,0.110344828,0.00862069
About smoking,f41o,,,2,[494.0],[581.0],0.900809717,0.091093117,0.008097166,0.874354561,0.117039587,0.008605852
About bullying,f41p,21.48229757,-,2,[498.0],[581.0],0.851405622,0.136546185,0.012048193,0.745266781,0.247848537,0.006884682
Somebody used my personal information in a way I didn't like,f43a,6.745078327,-,2,[496.0],[583.0],0.893145161,0.092741935,0.014112903,0.838765009,0.138936535,0.022298456
The device (e.g.; phone; tablet; computer) I use got a virus or spyware,f43b,5.272161292,-,2,[496.0],[587.0],0.840725806,0.141129032,0.018145161,0.797274276,0.190800681,0.011925043
I lost money by being cheated on the internet,f43c,7.184058851,+,2,[502.0],[578.0],0.890438247,0.085657371,0.023904382,0.916955017,0.077854671,0.005190311
Somebody used my password to access my information or to pretend to be me,f43d,6.248538763,-,2,[502.0],[577.0],0.896414343,0.085657371,0.017928287,0.864818024,0.126516464,0.008665511
Somebody created a page or image about me that was hostile or hurtful,f43e,,,2,[501.0],[576.0],0.944111776,0.043912176,0.011976048,0.935763889,0.059027778,0.005208333
I spent too much money on online games or in-app purchases,f43f,1.327720285,-,2,[343.0],[379.0],0.857142857,0.128279883,0.014577259,0.828496042,0.158311346,0.013192612
I was asked to make an in-app purchase when playing an online game (e.g.; to do well in the game),f43g,,,2,[342.0],[375.0],0.906432749,0.076023392,0.01754386,0.858666667,0.136,0.005333333
Someone found out where I was because they tracked my phone or device,f43h,5.144312145,-,2,[487.0],[580.0],0.932238193,0.049281314,0.018480493,0.931034483,0.063793103,0.005172414
I have gone without eating or sleeping because of the time I spent on the internet,f45a,,,2,[509.0],[589.0],0.842829077,0.145383104,0.011787819,0.775891341,0.21901528,0.005093379
I have experienced conflicts with family or friends because of the time I spent on the internet,f45b,6.827534892,-,2,[505.0],[585.0],0.798019802,0.186138614,0.015841584,0.736752137,0.251282051,0.011965812
My grades have dropped because of the time I spent on the internet,f45c,7.429816229,-,2,[510.0],[589.0],0.850980392,0.131372549,0.017647059,0.801358234,0.188455008,0.010186757
I have tried unsuccessfully to spend less time on the internet,f45d,11.70776275,-,2,[501.0],[583.0],0.778443114,0.20758483,0.013972056,0.686106346,0.296740995,0.017152659
I think the amount of time I spend on the internet causes problems for me,f45e,31.79707226,-,2,[497.0],[581.0],0.808853119,0.171026157,0.020120724,0.666092943,0.320137694,0.013769363
I feel I have to check my device (e.g. phone or computer) to see if anything new has just happened,f45f,53.92928898,-,2,[495.0],[579.0],0.812121212,0.16969697,0.018181818,0.621761658,0.369602763,0.008635579
Here is a picture of a ladder. The top of the ladder ‘10’ is the best possible life for you and the bottom ‘0’ is the worst possible life for you. In general; where on the ladder do you feel you stand at the moment? Mark the circle next to the number that best describes where you stand.,h1,0.730848008,+,1,[507.0],[588.0],0.138067061,0.861932939,0,0.156462585,0.843537415,0
Your mother or father (including step/foster mother or father),h2a,13.34656475,+,1,[514.0],[603.0],0.299610895,0.700389105,0,0.404643449,0.595356551,0
Your brother or sister (including step siblings),h2b,0.285890975,-,1,[514.0],[601.0],0.678988327,0.321011673,0,0.663893511,0.336106489,0
Cousin,h2i,4.763733704,-,1,[513.0],[601.0],0.851851852,0.148148148,0,0.801996672,0.198003328,0
Aunt/Uncle,h2j,0.996761591,+,1,[514.0],[601.0],0.861867704,0.138132296,0,0.881863561,0.118136439,0
Grandfather/Grandmother,h2k,1.177820534,+,1,[514.0],[601.0],0.840466926,0.159533074,0,0.863560732,0.136439268,0
A friend around my age,h2c,35.62584463,-,1,[513.0],[601.0],0.785575049,0.214424951,0,0.62063228,0.37936772,0
