Dataset 1,Dataset 2,,,,,,,,,,,
C:\Users\arnulfo azcarraga\Desktop\Rgee\OOTO UNICEF\Chitest\Datasets\ready for OOTO\preprocessed\male_p.csv,C:\Users\arnulfo azcarraga\Desktop\Rgee\OOTO UNICEF\Chitest\Datasets\ready for OOTO\preprocessed\female_p.csv,,,,,,,,,,,
Question,Feature,Chi,Higher Or Lower,Degrees of Freedom,N1,N2,P1(a),P1(b),P1(etc),P2(a),P2(b),P2(etc)
WhatsApp,d1b,0.042741856,-,1,[748.0],[948.0],0.977272727,0.022727273,0,0.975738397,0.024261603,0
YouTube,d1g,5.621178652,+,1,[748.0],[955.0],0.379679144,0.620320856,0,0.436649215,0.563350785,0
Spotify,d1h,0.31700264,+,1,[748.0],[948.0],0.939839572,0.060160428,0,0.946202532,0.053797468,0
Wikipedia,d1i,12.59453018,-,1,[748.0],[950.0],0.907754011,0.092245989,0,0.850526316,0.149473684,0
Tumblr,d1j,3.566656069,-,1,[748.0],[948.0],0.995989305,0.004010695,0,0.987341772,0.012658228,0
I find it easier to be myself online than when I am with people face-to-face,d2d,0.365925792,+,2,[583.0],[832.0],0.483704974,0.48542024,0.030874786,0.495192308,0.478365385,0.026442308
I talk about different things online than I do when speaking to people face-to-face,d2e,0.365125259,-,2,[582.0],[821.0],0.493127148,0.47766323,0.029209622,0.479902558,0.493300853,0.02679659
I talk about private things online which I do not talk about with people face-to-face,d2f,2.250097229,+,2,[579.0],[815.0],0.594127807,0.383419689,0.022452504,0.633128834,0.348466258,0.018404908
I feel safe on the internet,d2a,13.33699915,+,2,[784.0],[962.0],0.448979592,0.505102041,0.045918367,0.535343035,0.41995842,0.044698545
I find other people are kind and helpful on the internet,d2b,0.704145201,-,2,[779.0],[962.0],0.368421053,0.58279846,0.048780488,0.374220374,0.585239085,0.040540541
I know what to do if someone acts online in a way I don't like,d2c,9.44359675,-,2,[589.0],[820.0],0.348047538,0.606112054,0.045840407,0.286585366,0.682926829,0.030487805
How were your social media accounts created?,d12,11.46357172,+,4,[552.0],[800.0],0.376811594,0.163043478,0.460144928,0.32,0.15,0.53
How old were you when you first had your social media account?,d13,23.08264891,-,3,[573.0],[814.0],0.396160558,0.314136126,0.289703316,0.416461916,0.388206388,0.195331695
Facebook/Messenger,d14a,4.759089219,+,2,[570.0],[823.0],0.052631579,0.573684211,0.373684211,0.035236938,0.544349939,0.420413123
Skype,d14b,0.579251696,-,2,[500.0],[715.0],0.824,0.134,0.042,0.806993007,0.145454545,0.047552448
Viber,d14c,2.796652884,-,2,[489.0],[704.0],0.899795501,0.071574642,0.028629857,0.873579545,0.099431818,0.026988636
WeChat,d14d,2.376158671,-,2,[486.0],[704.0],0.905349794,0.069958848,0.024691358,0.887784091,0.071022727,0.041193182
Instagram,d14e,12.2701345,-,2,[488.0],[717.0],0.772540984,0.174180328,0.053278689,0.687587169,0.216178522,0.09623431
Twitter,d14f,13.59674219,-,2,[488.0],[710.0],0.831967213,0.120901639,0.047131148,0.742253521,0.190140845,0.067605634
YouTube/Hangout (Google),d14g,1.969869021,+,2,[516.0],[737.0],0.593023256,0.313953488,0.093023256,0.62550882,0.299864315,0.074626866
Minecraft,d15a,5.548628638,-,1,[583.0],[404.0],0.612349914,0.387650086,0,0.537128713,0.462871287,0
Warcraft DOTA,d15b,18.20002362,+,1,[582.0],[403.0],0.812714777,0.187285223,0,0.910669975,0.089330025,0
DOTA 2,d15c,55.05204063,+,1,[582.0],[403.0],0.699312715,0.300687285,0,0.898263027,0.101736973,0
League of Legends,d15d,19.28241594,+,1,[583.0],[403.0],0.668953688,0.331046312,0,0.796526055,0.203473945,0
Counterstrike,d15e,45.98241814,+,1,[583.0],[403.0],0.58490566,0.41509434,0,0.791563275,0.208436725,0
Others,d15f,20.26124246,-,1,[583.0],[405.0],0.58490566,0.41509434,0,0.439506173,0.560493827,0
Thinking of the profile you use most often; about how many people are you in contact with when using [named profile]?,d7a,39.81579983,+,14,[539.0],[786.0],0.083487941,0.139146568,0.777365492,0.071246819,0.090330789,0.838422392
More or less; how many are your followers?,d7b,,,14,[462.0],[669.0],0.227272727,0.177489177,0.595238095,0.168908819,0.176382661,0.65470852
More or less; how many do you follow?,d7c,,,14,[459.0],[680.0],0.25708061,0.20043573,0.54248366,0.236764706,0.186764706,0.576470588
Is you [named profile] set to...?,d8,3.880559218,+,3,[545.0],[802.0],0.565137615,0.282568807,0.152293578,0.614713217,0.260598504,0.124688279
A photo that clearly shows your face,d9a,17.42133231,-,2,[568.0],[815.0],0.183098592,0.786971831,0.029929577,0.109202454,0.871165644,0.019631902
Your last name,d9b,2.545826294,-,2,[565.0],[816.0],0.116814159,0.853097345,0.030088496,0.117647059,0.865196078,0.017156863
Your address,d9c,1.065447845,-,2,[561.0],[810.0],0.356506239,0.595365419,0.048128342,0.341975309,0.618518519,0.039506173
Your phone number,d9d,3.843274321,+,2,[559.0],[806.0],0.558139535,0.397137746,0.044722719,0.606699752,0.361042184,0.032258065
Your school,d9e,5.846784633,-,2,[558.0],[811.0],0.387096774,0.577060932,0.035842294,0.325524044,0.641183724,0.033292232
Your correct age,d9f,9.737697823,+,2,[562.0],[809.0],0.307829181,0.65658363,0.035587189,0.389369592,0.576019778,0.03461063
An age that is not your real age,d9g,2.554359559,-,2,[557.0],[801.0],0.694793537,0.265709156,0.039497307,0.654182272,0.304619226,0.041198502
Places you've dined and visited,d9j,8.551809141,-,2,[551.0],[795.0],0.66969147,0.288566243,0.041742287,0.591194969,0.358490566,0.050314465
Pictures showing whole body,d9k,1.268093763,+,2,[554.0],[800.0],0.61732852,0.350180505,0.032490975,0.63125,0.3275,0.04125
How do you usually respond to requests from people to become your ‘friends’ online?,d10,36.70993963,-,3,[554.0],[805.0],0.26534296,0.684115523,0.050541516,0.136645963,0.791304348,0.072049689
Looked for new friends or contacts on the internet,f1a,1.300688823,+,2,[765.0],[951.0],0.788235294,0.202614379,0.009150327,0.809674027,0.18086225,0.009463722
Sent my personal information (e.g.; my full name; address or phone number) to someone I have never met face-to-face,f1b,12.92091024,+,2,[746.0],[936.0],0.888739946,0.100536193,0.010723861,0.931623932,0.054487179,0.013888889
Added people to my friends or contacts I have never met face-to-face,f1c,5.55763457,+,2,[747.0],[944.0],0.801874163,0.186077644,0.012048193,0.845338983,0.144067797,0.01059322
Pretended to be a different kind of person online from who I really am,f1d,5.62877151,+,2,[740.0],[928.0],0.9,0.087837838,0.012162162,0.923491379,0.059267241,0.017241379
Sent a photo or video of myself to someone I have never met face-to-face,f1e,14.49743685,+,2,[743.0],[935.0],0.889636608,0.098250336,0.012113055,0.934759358,0.05026738,0.014973262
Post my current location and those I had been to,f1f,7.89510868,+,2,[735.0],[928.0],0.866666667,0.118367347,0.014965986,0.90625,0.077586207,0.016163793
Post my new stuff and clothes,f1g,2.983603238,+,2,[746.0],[935.0],0.876675603,0.108579088,0.014745308,0.900534759,0.090909091,0.00855615
Post messages or love quotes that pertain to the boy/girl whom I have a crush on,f1h,1.75154971,+,2,[750.0],[937.0],0.872,0.116,0.012,0.865528282,0.114194237,0.020277481
Seek to get acquainted or befriend persons who are Non-Filipinos (foreigners),f1i,7.498534253,+,2,[745.0],[929.0],0.915436242,0.073825503,0.010738255,0.939720129,0.044133477,0.016146394
Engage in chat activities with a person whom I only met on internet,f1j,11.05008164,+,2,[746.0],[933.0],0.797587131,0.193029491,0.009383378,0.8585209,0.13397642,0.00750268
Do video calls with a person whom I only met on internet,f1k,28.05621176,+,2,[735.0],[927.0],0.868027211,0.121088435,0.010884354,0.938511327,0.049622438,0.011866235
Receive offers or gifts online,f1l,19.9322489,+,2,[734.0],[924.0],0.886920981,0.104904632,0.008174387,0.937229437,0.048701299,0.014069264
Have you EVER had contact on the internet with someone you have not met face-to-face before?,f2,1.884990961,+,2,[559.0],[663.0],0.685152057,0.27549195,0.039355993,0.719457014,0.2413273,0.039215686
In the PAST YEAR; have you at least once met anyone face to face that you first got to know on the internet?,f3,36.13162945,+,2,[753.0],[947.0],0.772908367,0.199203187,0.027888446,0.880675818,0.099260824,0.020063358
If you met anyone face-to-face that you first got to know on the internet; how did you feel about it?,f4,2.662063147,-,3,[150.0],[94.0],0.62,0.173333333,0.206666667,0.585106383,0.234042553,0.180851064
Thinking about the LAST TIME you were bothered by meeting someone in this way; how old was the person you actually met?,f5,,,2,[24.0],[14.0],0.833333333,0.125,0.041666667,0.642857143,0.214285714,0.142857143
I've met face to face with a person I just got acquainted on internet but is already known by my friends or relatives,f6a,,,2,[148.0],[91.0],0.405405405,0.574324324,0.02027027,0.362637363,0.637362637,0
I've met face to face with a person I just got acquainted on internet and who is totally unknown to anyone I personally know,f6b,,,2,[147.0],[88.0],0.591836735,0.380952381,0.027210884,0.556818182,0.443181818,0
I've met with a foreigner (different nationality),f6c,,,2,[148.0],[91.0],0.702702703,0.283783784,0.013513514,0.681318681,0.307692308,0.010989011
I've personally met with an older person,f6d,,,2,[151.0],[92.0],0.490066225,0.476821192,0.033112583,0.543478261,0.423913043,0.032608696
I've met face to face with a person I just got acquainted on internet and she/he was accompanied by another girl/boy,f6e,,,2,[149.0],[92.0],0.55704698,0.422818792,0.020134228,0.586956522,0.413043478,0
I've met with LGBT person (lesbian; gay; bisexual; transgender) whom i just got acquainted with on internet,f6h,,,2,[146.0],[90.0],0.746575342,0.239726027,0.01369863,0.755555556,0.211111111,0.033333333
In the PAST YEAR; how many people have you gone to a meeting with face-to-face that you had previously only met on the internet?,f8,,,2,[145.0],[93.0],0.179310345,0.8,0.020689655,0.11827957,0.870967742,0.010752688
In the PAST YEAR; has anything EVER happened online that bothered or upset you in some way? (e.g.; made you feel uncomfortable; scared or that you shouldn’t have seen it)?,f11,1.024938915,+,2,[738.0],[928.0],0.785907859,0.181571816,0.032520325,0.802801724,0.171336207,0.025862069
In the PAST YEAR; how often did this happen?,f12,11.19663951,+,2,[134.0],[160.0],0.380597015,0.574626866,0.044776119,0.56875,0.38125,0.05
Thinking now about the LAST TIME this happened to you; how upset were you about what happened?,f13,3.455885639,-,2,[135.0],[157.0],0.377777778,0.540740741,0.081481481,0.394904459,0.573248408,0.031847134
My mother or father (or step/foster mother or father),f14a,0.220434437,+,1,[131.0],[160.0],0.648854962,0.351145038,0,0.675,0.325,0
My brother or sister (orstep/foster/half siblings),f14b,0.416707415,+,1,[131.0],[160.0],0.709923664,0.290076336,0,0.74375,0.25625,0
Cousin,f14j,0.62710931,+,1,[131.0],[160.0],0.65648855,0.34351145,0,0.7,0.3,0
Aunt/Uncle,f14k,3.501926201,+,1,[131.0],[160.0],0.801526718,0.198473282,0,0.88125,0.11875,0
Grandfather/Grandmother,f14l,15.30380682,+,1,[131.0],[160.0],0.824427481,0.175572519,0,0.9625,0.0375,0
Nanny,f14m,,,1,[131.0],[160.0],0.984732824,0.015267176,0,1,0,0
A friend around my age,f14c,7.059814882,-,1,[131.0],[160.0],0.58778626,0.41221374,0,0.43125,0.56875,0
Classmate,f14n,0.93594308,-,1,[131.0],[160.0],0.679389313,0.320610687,0,0.625,0.375,0
Boyfriend/Girlfriend,f14o,0.17221825,-,1,[131.0],[160.0],0.908396947,0.091603053,0,0.89375,0.10625,0
A teacher,f14d,5.468832572,+,1,[131.0],[160.0],0.854961832,0.145038168,0,0.9375,0.0625,0
Someone whose job it is to help children,f14e,,,1,[131.0],[160.0],0.977099237,0.022900763,0,0.975,0.025,0
Godfather/Godmother,f14p,4.144941912,+,1,[131.0],[160.0],0.923664122,0.076335878,0,0.975,0.025,0
Priest/Pastor/Nun,f14q,,,1,[131.0],[160.0],0.977099237,0.022900763,0,1,0,0
Neighbor,f14r,8.527993798,+,1,[131.0],[160.0],0.801526718,0.198473282,0,0.91875,0.08125,0
Another adult I trust,f14f,0.101103632,-,1,[131.0],[160.0],0.893129771,0.106870229,0,0.88125,0.11875,0
Someone else,f14g,5.737151088,+,1,[131.0],[160.0],0.900763359,0.099236641,0,0.96875,0.03125,0
I didn't talk to anyone,f14h,0.045401051,+,1,[131.0],[160.0],0.93129771,0.06870229,0,0.9375,0.0625,0
Prefer not to say,f14i,0.147531916,+,1,[131.0],[160.0],0.946564885,0.053435115,0,0.95625,0.04375,0
The last time something happened online that bothered or upset you in some way; how long did you feel like that for?,f15,,,2,[129.0],[155.0],0.434108527,0.527131783,0.03875969,0.522580645,0.464516129,0.012903226
I ignored the problem or hoped the problem would go away by itself,f16a,0.216222721,+,1,[125.0],[150.0],0.432,0.568,0,0.46,0.54,0
I closed the window or app,f16b,4.532839685,+,1,[125.0],[150.0],0.768,0.232,0,0.866666667,0.133333333,0
I felt a bit guilty about what went wrong,f16c,8.966536438,+,1,[125.0],[150.0],0.696,0.304,0,0.846666667,0.153333333,0
I tried to get the other person to leave me alone,f16d,2.454672245,-,1,[125.0],[150.0],0.904,0.096,0,0.84,0.16,0
I tried to get back at the other person,f16e,,,1,[125.0],[150.0],0.96,0.04,0,1,0,0
I stopped using the internet for a while,f16f,0.027652086,-,1,[125.0],[150.0],0.808,0.192,0,0.8,0.2,0
I deleted any messages from the other person,f16g,5.583655239,-,1,[125.0],[150.0],0.856,0.144,0,0.74,0.26,0
I changed my privacy/ contact settings,f16h,0.797101449,+,1,[125.0],[150.0],0.904,0.096,0,0.933333333,0.066666667,0
I blocked the person from contacting me,f16i,9.075136867,-,1,[125.0],[150.0],0.904,0.096,0,0.766666667,0.233333333,0
I reported the problem online  (e.g.; clicked on a ‘report abuse’ button; contacted an internet advisor or Internet Service Provider (ISP)),f16j,0.33,-,1,[125.0],[150.0],0.92,0.08,0,0.9,0.1,0
Other actions taken,f16k,4.146153846,-,1,[125.0],[150.0],0.976,0.024,0,0.92,0.08,0
In the PAST YEAR; has anyone ever treated you in a hurtful or nasty way?,f18,0.812479154,+,2,[790.0],[953.0],0.721518987,0.24556962,0.032911392,0.737670514,0.235047219,0.027282267
In the PAST YEAR; how often did this happen?,f19,6.06625536,+,2,[190.0],[224.0],0.452631579,0.521052632,0.026315789,0.544642857,0.40625,0.049107143
In person face-to-face (by someone with you in the same place),f20a,,,2,[192.0],[220.0],0.411458333,0.552083333,0.036458333,0.577272727,0.418181818,0.004545455
Via a mobile phone or online device (computer;tablet; etc.),f20b,5.447348544,-,2,[188.0],[223.0],0.484042553,0.462765957,0.053191489,0.439461883,0.542600897,0.01793722
By mobile phone calls,f21a,0.302396719,+,1,[83.0],[118.0],0.710843373,0.289156627,0,0.745762712,0.254237288,0
By messages sent to me on my phone (SMS/TEXT or MMS),f21b,0.576934825,-,1,[83.0],[118.0],0.662650602,0.337349398,0,0.610169492,0.389830508,0
On a social networking site (e.g. Facebook; Twitter etc.),f21c,2.524589032,-,1,[83.0],[118.0],0.493975904,0.506024096,0,0.381355932,0.618644068,0
On a media sharing platform (YouTube; Instagram; Flickr),f21d,12.27237849,+,1,[83.0],[118.0],0.819277108,0.180722892,0,0.966101695,0.033898305,0
By instant messaging (MSN; What’s app; Skype etc.),f21e,,,1,[83.0],[118.0],0.915662651,0.084337349,0,0.974576271,0.025423729,0
In a chatroom,f21f,0.024534404,-,1,[49.0],[61.0],0.734693878,0.265306122,0,0.721311475,0.278688525,0
In an online game,f21g,6.352082453,+,1,[63.0],[45.0],0.746031746,0.253968254,0,0.933333333,0.066666667,0
Some other way,f21h,1.658867758,+,1,[83.0],[118.0],0.879518072,0.120481928,0,0.93220339,0.06779661,0
Prefer not to say,f21i,,,1,[83.0],[118.0],0.987951807,0.012048193,0,0.991525424,0.008474576,0
Nasty or hurtful messages were sent to me,f22a,,,2,[188.0],[222.0],0.505319149,0.457446809,0.037234043,0.382882883,0.612612613,0.004504505
Nasty or hurtful messages were passed around or posted where others could see,f22b,,,2,[188.0],[216.0],0.654255319,0.313829787,0.031914894,0.740740741,0.25462963,0.00462963
I was left out or excluded from a group or activity on the internet,f22c,4.440869088,+,2,[185.0],[216.0],0.637837838,0.318918919,0.043243243,0.731481481,0.24537037,0.023148148
I was threatened on the internet,f22d,,,2,[183.0],[216.0],0.693989071,0.284153005,0.021857923,0.699074074,0.291666667,0.009259259
Other nasty or hurtful things happened to me on the internet,f22e,0.872420556,+,2,[187.0],[213.0],0.588235294,0.379679144,0.032085561,0.615023474,0.366197183,0.018779343
Thinking of the last time someone treated you in a hurtful or nasty way; how did you feel?,f23,2.237907588,-,2,[182.0],[207.0],0.340659341,0.593406593,0.065934066,0.280193237,0.666666667,0.053140097
In the PAST YEAR; have you EVER treated someone else in a hurtful or nasty way?,f24,3.159047401,+,2,[777.0],[940.0],0.794079794,0.173745174,0.032175032,0.827659574,0.144680851,0.027659574
In the PAST YEAR; how often have you treated someone in this way?,f25,,,2,[138.0],[136.0],0.485507246,0.47826087,0.036231884,0.580882353,0.389705882,0.029411765
In person face-to-face (a person that is together with you in the same place at the same time),f26a,,,2,[137.0],[136.0],0.489051095,0.496350365,0.01459854,0.5,0.477941176,0.022058824
Via a mobile phone or online device (computer; tablet; etc.),f26b,,,2,[132.0],[131.0],0.575757576,0.409090909,0.015151515,0.427480916,0.534351145,0.038167939
By mobile phone calls,f27a,0.105496454,-,1,[51.0],[68.0],0.803921569,0.196078431,0,0.779411765,0.220588235,0
By messages sent by the phone (SMS/Text or MMS),f27b,0.507853535,-,1,[51.0],[68.0],0.666666667,0.333333333,0,0.602941176,0.397058824,0
On a social networking site (e.g.; Facebook; Twitter),f27c,4.554152315,-,1,[51.0],[68.0],0.549019608,0.450980392,0,0.352941176,0.647058824,0
By instant messaging (MSN; WhatsApp; Skype etc.),f27d,,,1,[51.0],[68.0],0.901960784,0.098039216,0,0.955882353,0.044117647,0
On a media sharing platform (YouTube; Instagram; Flickr),f27e,,,1,[51.0],[68.0],0.882352941,0.117647059,0,0.970588235,0.029411765,0
In a chatroom,f27f,0.255083923,+,1,[33.0],[32.0],0.727272727,0.272727273,0,0.78125,0.21875,0
In an online game,f27g,0.654354991,+,1,[45.0],[32.0],0.733333333,0.266666667,0,0.8125,0.1875,0
Some other way,f27h,,,1,[51.0],[68.0],0.960784314,0.039215686,0,0.897058824,0.102941176,0
Prefer not to say,f27i,,,1,[51.0],[68.0],1,0,0,0.970588235,0.029411765,0
In the PAST YEAR; have you EVER SEEN any sexual images?,f28,0.32279479,-,2,[764.0],[918.0],0.683246073,0.286649215,0.030104712,0.675381264,0.297385621,0.027233115
If you have seen images of this kind; how did you feel about what you saw?,f29,49.85208489,+,3,[220.0],[273.0],0.154545455,0.281818182,0.563636364,0.054945055,0.102564103,0.842490842
In a magazine or book,f31a,1.86767659,-,2,[227.0],[276.0],0.612334802,0.36123348,0.026431718,0.572463768,0.380434783,0.047101449
On television; film,f31b,1.646675802,-,2,[225.0],[276.0],0.346666667,0.631111111,0.022222222,0.293478261,0.684782609,0.02173913
Via a mobile phone; computer; tablet or anyother online device,f31c,7.875110636,-,2,[227.0],[273.0],0.339207048,0.634361233,0.026431718,0.227106227,0.747252747,0.025641026
On an online video sharing platform (e.g. YouTube; [add local examples]),f32d,6.11181374,+,1,[132.0],[174.0],0.386363636,0.613636364,0,0.528735632,0.471264368,0
On an online photo sharing platform (e.g. Instagram; Flickr; [add local examples]),f32e,0.004340176,+,1,[110.0],[75.0],0.836363636,0.163636364,0,0.84,0.16,0
On a social networking site (e.g. Facebook; Twitter; [add local examples]),f32f,2.805322068,-,1,[94.0],[81.0],0.308510638,0.691489362,0,0.197530864,0.802469136,0
In a chatroom,f32g,1.651379782,+,1,[142.0],[200.0],0.866197183,0.133802817,0,0.91,0.09,0
In an online game,f32h,5.826649993,+,1,[142.0],[200.0],0.901408451,0.098591549,0,0.965,0.035,0
On an adult/X-rated website,f32i,1.824028855,+,1,[142.0],[200.0],0.894366197,0.105633803,0,0.935,0.065,0
By popups on the internet (unrequested windows that appear during web surfing),f32j,1.265941901,+,1,[142.0],[200.0],0.866197183,0.133802817,0,0.905,0.095,0
By instant messaging (MSN; WhatsApp; Skype; [add local examples]),f32k,,,1,[142.0],[200.0],0.971830986,0.028169014,0,0.98,0.02,0
By text (SMS); images (MMS); or otherwise on my mobile phone,f32l,0.066901408,+,1,[142.0],[200.0],0.943661972,0.056338028,0,0.95,0.05,0
By Bluetooth,f32m,0.034362903,+,1,[142.0],[200.0],0.950704225,0.049295775,0,0.955,0.045,0
In an advert,f32n,9.542714292,-,1,[142.0],[200.0],0.957746479,0.042253521,0,0.855,0.145,0
Prefer not to say,f32o,,,1,[142.0],[200.0],0.957746479,0.042253521,0,0.98,0.02,0
A sexual image or video of someone naked,f33a,2.38492176,-,2,[140.0],[201.0],0.271428571,0.664285714,0.064285714,0.293532338,0.676616915,0.029850746
A sexual image or video that shows someone's 'private parts' [translate as appropriate],f33b,0.26207298,-,2,[141.0],[200.0],0.34751773,0.602836879,0.04964539,0.325,0.63,0.045
An image or video that shows sexual acts or people having sex,f33c,8.356671851,+,2,[139.0],[200.0],0.402877698,0.553956835,0.043165468,0.55,0.395,0.055
An image or video that shows sexual acts in a violent way,f33d,2.146587962,+,2,[139.0],[199.0],0.597122302,0.35971223,0.043165468,0.673366834,0.286432161,0.040201005
Something else sexual or embarrassing,f33e,,,2,[142.0],[200.0],0.302816901,0.647887324,0.049295775,0.35,0.645,0.005
In the PAST YEAR; have you received any sexual messages (this could be words; pictures or videos) at least once?,f34,0.569164947,-,2,[757.0],[916.0],0.824306473,0.151915456,0.023778071,0.810043668,0.164847162,0.02510917
If you have received any sexual messages; how did you feel about what you saw?,f35,12.09597176,+,3,[115.0],[150.0],0.139130435,0.234782609,0.626086957,0.1,0.113333333,0.786666667
By mobile phone calls,f37a,3.007454346,+,2,[118.0],[153.0],0.669491525,0.279661017,0.050847458,0.745098039,0.235294118,0.019607843
By text messages sent to me on my phone (SMS/text or MMS),f37b,,,2,[117.0],[154.0],0.641025641,0.35042735,0.008547009,0.649350649,0.344155844,0.006493506
On a social networking site (e.g.; Facebook; Twitter etc.),f37c,,,2,[120.0],[152.0],0.283333333,0.683333333,0.033333333,0.223684211,0.75,0.026315789
On a media sharing platform (YouTube; Instagram; Flickr),f37d,,,2,[119.0],[153.0],0.579831933,0.386554622,0.033613445,0.758169935,0.222222222,0.019607843
By IM (MSN; WhatsApp; Skype; etc.),f37e,,,2,[118.0],[149.0],0.737288136,0.237288136,0.025423729,0.805369128,0.181208054,0.013422819
In a chatroom (video chat),f37f,,,2,[117.0],[149.0],0.615384615,0.35042735,0.034188034,0.771812081,0.214765101,0.013422819
In an online game,f37g,,,2,[119.0],[149.0],0.605042017,0.352941176,0.042016807,0.865771812,0.127516779,0.006711409
In a gaming community (also on the Xbox and other game consoles),f37h,,,2,[116.0],[146.0],0.784482759,0.198275862,0.017241379,0.904109589,0.089041096,0.006849315
By 'pop up' (something appears by accident),f37i,8.340160835,+,2,[116.0],[149.0],0.482758621,0.474137931,0.043103448,0.651006711,0.302013423,0.046979866
In the PAST YEAR; have you sent or posted any sexual messages at least once? This could be words; pictures or videosabout you or someone else.,f38,10.14341787,+,2,[746.0],[919.0],0.891420912,0.08310992,0.025469169,0.934711643,0.047878128,0.017410229
In the PAST YEAR; how often have you sent or posted sexual messages?,f39,0.946864642,+,2,[61.0],[44.0],0.31147541,0.573770492,0.114754098,0.295454545,0.522727273,0.181818182
I have sent someone a sexual message (e.g.; words; pictures or video) on the internet,f40a,,,2,[62.0],[44.0],0.612903226,0.370967742,0.016129032,0.704545455,0.25,0.045454545
I have posted a sexual message (e.g.; words; pictures or video) where other people could see it on the internet,f40b,,,2,[62.0],[44.0],0.629032258,0.338709677,0.032258065,0.659090909,0.295454545,0.045454545
I have asked someone on the internet for sexual information about him or herself (like what his or her body looks like without clothes on or sexual things he or she has done),f40c,,,2,[62.0],[44.0],0.629032258,0.306451613,0.064516129,0.772727273,0.159090909,0.068181818
Ways of physically harming or hurting themselves,f41a,0.049948851,+,2,[740.0],[915.0],0.840540541,0.139189189,0.02027027,0.843715847,0.135519126,0.020765027
Ways of committing suicide,f41b,,,1,[3.0],[2.0],0.666666667,0.333333333,0,1,0,0
Ways to be very thin (such as being anorexic or bulimic),f41c,4.73197124,-,2,[735.0],[899.0],0.87755102,0.096598639,0.02585034,0.848720801,0.130144605,0.021134594
Hate messages that attack certain groups or individuals (e.g.; people of different colour or religion or nationality),f41d,8.960399969,-,2,[733.0],[902.0],0.888130969,0.09686221,0.015006821,0.837028825,0.137472284,0.025498891
Their experiences of taking drugs,f41e,7.816610659,-,2,[742.0],[911.0],0.877358491,0.088948787,0.033692722,0.848518112,0.128430296,0.023051592
Gory or violent images,f41f,0.509067746,-,2,[739.0],[905.0],0.779431664,0.205683356,0.01488498,0.764640884,0.219889503,0.015469613
Ways of courtship,f41g,0.416801109,-,2,[740.0],[911.0],0.7,0.275675676,0.024324324,0.700329308,0.279912184,0.019758507
Ways how to find a relationship,f41h,3.219078097,-,2,[737.0],[900.0],0.91587517,0.066485753,0.017639077,0.897777778,0.088888889,0.013333333
Ways to join in gambling,f41i,8.113457734,+,2,[737.0],[903.0],0.898236092,0.081411126,0.020352782,0.934662237,0.047619048,0.017718715
About cheating,f41l,5.702992187,-,2,[743.0],[908.0],0.860026918,0.115746972,0.02422611,0.837004405,0.148678414,0.014317181
About sex,f41m,,,1,[4.0],[1.0],0.75,0.25,0,1,0,0
About drinking alcohol,f41n,0.069950713,+,2,[740.0],[910.0],0.875675676,0.109459459,0.014864865,0.874725275,0.108791209,0.016483516
About smoking,f41o,6.059242085,-,2,[741.0],[911.0],0.890688259,0.099865047,0.009446694,0.849615807,0.13611416,0.014270033
About bullying,f41p,13.89223914,-,2,[743.0],[914.0],0.792732167,0.192462988,0.014804845,0.714442013,0.2702407,0.015317287
Somebody used my personal information in a way I didn't like,f43a,0.50895148,+,2,[747.0],[907.0],0.838018742,0.135207497,0.026773762,0.850055127,0.123484013,0.02646086
The device (e.g.; phone; tablet; computer) I use got a virus or spyware,f43b,0.061836006,-,2,[751.0],[905.0],0.785619174,0.197070573,0.017310253,0.782320442,0.198895028,0.01878453
I lost money by being cheated on the internet,f43c,9.007339686,+,2,[746.0],[906.0],0.894101877,0.091152815,0.014745308,0.926048565,0.054083885,0.01986755
Somebody used my password to access my information or to pretend to be me,f43d,3.041334218,+,2,[742.0],[909.0],0.865229111,0.114555256,0.020215633,0.875687569,0.114411441,0.00990099
Somebody created a page or image about me that was hostile or hurtful,f43e,0.057674987,+,2,[740.0],[907.0],0.933783784,0.054054054,0.012162162,0.936052922,0.05292172,0.011025358
I spent too much money on online games or in-app purchases,f43f,9.298098335,+,2,[580.0],[474.0],0.793103448,0.19137931,0.015517241,0.862869198,0.122362869,0.014767932
I was asked to make an in-app purchase when playing an online game (e.g.; to do well in the game),f43g,6.290088488,+,2,[577.0],[467.0],0.842287695,0.147313692,0.010398614,0.880085653,0.100642398,0.019271949
Someone found out where I was because they tracked my phone or device,f43h,4.595928865,+,2,[733.0],[896.0],0.918144611,0.072305593,0.009549795,0.936383929,0.049107143,0.014508929
I have gone without eating or sleeping because of the time I spent on the internet,f45a,0.358994308,+,2,[750.0],[921.0],0.754666667,0.238666667,0.006666667,0.765472313,0.226927253,0.007600434
I have experienced conflicts with family or friends because of the time I spent on the internet,f45b,5.207985655,-,2,[750.0],[919.0],0.752,0.242666667,0.005333333,0.735582155,0.247007617,0.017410229
My grades have dropped because of the time I spent on the internet,f45c,25.75185721,+,2,[756.0],[920.0],0.760582011,0.231481481,0.007936508,0.85,0.136956522,0.013043478
I have tried unsuccessfully to spend less time on the internet,f45d,2.144125199,+,2,[742.0],[915.0],0.696765499,0.289757412,0.013477089,0.698360656,0.278688525,0.02295082
I think the amount of time I spend on the internet causes problems for me,f45e,5.811723491,-,2,[740.0],[907.0],0.72972973,0.258108108,0.012162162,0.678059537,0.302094818,0.019845645
